canal,run_idx,round_idx,accuracy,seed_run
text,0,0,0.0,42
text,0,1,0.0,42
text,0,2,0.0,42
text,0,3,0.0,42
text,0,4,0.0,42
text,0,5,0.0,42
text,0,6,0.0,42
text,0,7,0.0,42
text,0,8,0.0,42
text,0,9,0.0,42
text,0,10,0.0,42
text,0,11,0.0,42
text,0,12,0.0,42
text,0,13,0.0,42
text,0,14,0.0,42
text,0,15,0.0,42
text,0,16,0.0,42
text,0,17,0.0,42
text,0,18,0.0,42
text,0,19,0.0,42
text,0,20,0.0,42
text,0,21,0.0,42
text,0,22,0.0,42
text,0,23,0.0,42
text,0,24,0.0,42
text,0,25,0.0,42
text,0,26,0.0,42
text,0,27,0.0,42
text,0,28,0.0,42
text,0,29,0.0,42
text,0,30,0.0,42
text,0,31,0.0,42
text,0,32,0.0,42
text,0,33,0.0,42
text,0,34,0.0,42
text,0,35,0.0,42
text,0,36,0.0,42
text,0,37,0.0,42
text,0,38,0.0,42
text,0,39,0.0,42
text,0,40,0.0,42
text,0,41,0.0,42
text,0,42,0.0,42
text,0,43,0.0,42
text,0,44,0.0,42
text,0,45,0.0,42
text,0,46,0.0,42
text,0,47,0.0,42
text,0,48,0.0,42
text,0,49,0.0,42
text,1,0,0.0,43
text,1,1,0.0,43
text,1,2,0.0,43
text,1,3,0.0,43
text,1,4,0.0,43
text,1,5,0.0,43
text,1,6,0.0,43
text,1,7,0.0,43
text,1,8,0.0,43
text,1,9,0.0,43
text,1,10,0.0,43
text,1,11,0.0,43
text,1,12,0.0,43
text,1,13,0.0,43
text,1,14,0.0,43
text,1,15,0.0,43
text,1,16,0.0,43
text,1,17,0.0,43
text,1,18,0.0,43
text,1,19,0.0,43
text,1,20,0.0,43
text,1,21,0.0,43
text,1,22,0.0,43
text,1,23,0.0,43
text,1,24,0.0,43
text,1,25,0.0,43
text,1,26,0.0,43
text,1,27,0.0,43
text,1,28,0.0,43
text,1,29,0.0,43
text,1,30,0.0,43
text,1,31,0.0,43
text,1,32,0.0,43
text,1,33,0.0,43
text,1,34,0.0,43
text,1,35,0.0,43
text,1,36,0.0,43
text,1,37,0.0,43
text,1,38,0.0,43
text,1,39,0.0,43
text,1,40,0.0,43
text,1,41,0.0,43
text,1,42,0.0,43
text,1,43,0.0,43
text,1,44,0.0,43
text,1,45,0.0,43
text,1,46,0.0,43
text,1,47,0.0,43
text,1,48,0.0,43
text,1,49,0.0,43
text,2,0,0.0,44
text,2,1,0.0,44
text,2,2,0.0,44
text,2,3,0.0,44
text,2,4,0.0,44
text,2,5,0.0,44
text,2,6,0.0,44
text,2,7,0.0,44
text,2,8,0.0,44
text,2,9,0.0,44
text,2,10,0.0,44
text,2,11,0.0,44
text,2,12,0.0,44
text,2,13,0.0,44
text,2,14,0.0,44
text,2,15,0.0,44
text,2,16,0.0,44
text,2,17,0.0,44
text,2,18,0.0,44
text,2,19,0.0,44
text,2,20,0.0,44
text,2,21,0.0,44
text,2,22,0.0,44
text,2,23,0.0,44
text,2,24,0.0,44
text,2,25,0.0,44
text,2,26,0.0,44
text,2,27,0.0,44
text,2,28,0.0,44
text,2,29,0.0,44
text,2,30,0.0,44
text,2,31,0.0,44
text,2,32,0.0,44
text,2,33,0.0,44
text,2,34,0.0,44
text,2,35,0.0,44
text,2,36,0.0,44
text,2,37,0.0,44
text,2,38,0.0,44
text,2,39,0.0,44
text,2,40,0.0,44
text,2,41,0.0,44
text,2,42,0.0,44
text,2,43,0.0,44
text,2,44,0.0,44
text,2,45,0.0,44
text,2,46,0.0,44
text,2,47,0.0,44
text,2,48,0.0,44
text,2,49,0.0,44
text,3,0,0.0,45
text,3,1,0.0,45
text,3,2,0.0,45
text,3,3,0.0,45
text,3,4,0.0,45
text,3,5,0.0,45
