conflict_level,entropy_level,run_idx,seed_run,m_vide_emetteur,m_vide_recepteur
0.2,0.2,0,42000,0.2,0.2086944854259491
0.2,0.2,1,42001,0.2,0.2025387990474701
0.2,0.2,2,42002,0.2,0.20486518740653992
0.2,0.2,3,42003,0.2,0.19278048634529116
0.2,0.2,4,42004,0.2,0.20238150358200074
0.2,0.2,5,42005,0.2,0.20964077591896058
0.2,0.2,6,42006,0.2,0.19338025450706484
0.2,0.2,7,42007,0.2,0.20364740252494812
0.2,0.2,8,42008,0.2,0.2023915195465088
0.2,0.2,9,42009,0.2,0.19216297745704652
0.2,0.2,10,42010,0.2,0.20754441261291506
0.2,0.2,11,42011,0.2,0.19409720063209535
0.2,0.2,12,42012,0.2,0.2067111885547638
0.2,0.2,13,42013,0.2,0.2048569405078888
0.2,0.2,14,42014,0.2,0.20101965665817262
0.2,0.2,15,42015,0.2,0.201583354473114
0.2,0.2,16,42016,0.2,0.2067698073387146
0.2,0.2,17,42017,0.2,0.20295008659362795
0.2,0.2,18,42018,0.2,0.19688550114631653
0.2,0.2,19,42019,0.2,0.20802246093750001
0.2,0.2,20,42020,0.2,0.19559826612472536
0.2,0.2,21,42021,0.2,0.20352498054504395
0.2,0.2,22,42022,0.2,0.20215843081474305
0.2,0.2,23,42023,0.2,0.19559680819511416
0.2,0.2,24,42024,0.2,0.20265320301055909
0.2,0.2,25,42025,0.2,0.2019131684303284
0.2,0.2,26,42026,0.2,0.1931552004814148
0.2,0.2,27,42027,0.2,0.19085305452346804
0.2,0.2,28,42028,0.2,0.19380998492240906
0.2,0.2,29,42029,0.2,0.20198721766471864
0.2,0.2,30,42030,0.2,0.20623653769493105
0.2,0.2,31,42031,0.2,0.19906105875968935
0.2,0.2,32,42032,0.2,0.1972879195213318
0.2,0.2,33,42033,0.2,0.19984785795211793
0.2,0.2,34,42034,0.2,0.19917262554168702
0.2,0.2,35,42035,0.2,0.20965903639793398
0.2,0.2,36,42036,0.2,0.20014588117599488
0.2,0.2,37,42037,0.2,0.2066729283332825
0.2,0.2,38,42038,0.2,0.20572713732719422
0.2,0.2,39,42039,0.2,0.20026382327079775
0.2,0.2,40,42040,0.2,0.20855015277862549
0.2,0.2,41,42041,0.2,0.19924318313598635
0.2,0.2,42,42042,0.2,0.2030423927307129
0.2,0.2,43,42043,0.2,0.20802293181419373
0.2,0.2,44,42044,0.2,0.1967888116836548
0.2,0.2,45,42045,0.2,0.20356423974037172
0.2,0.2,46,42046,0.2,0.19445184111595154
0.2,0.2,47,42047,0.2,0.1953044843673706
0.2,0.2,48,42048,0.2,0.19904198646545412
0.2,0.2,49,42049,0.2,0.19070029020309448
0.2,1.0,0,42000,0.2,0.2086944854259491
0.2,1.0,1,42001,0.2,0.2025387990474701
0.2,1.0,2,42002,0.2,0.20486518740653992
0.2,1.0,3,42003,0.2,0.19278048634529116
0.2,1.0,4,42004,0.2,0.20238150358200074
0.2,1.0,5,42005,0.2,0.20964077591896058
0.2,1.0,6,42006,0.2,0.19338025450706484
0.2,1.0,7,42007,0.2,0.20364740252494812
0.2,1.0,8,42008,0.2,0.2023915195465088
0.2,1.0,9,42009,0.2,0.19216297745704652
0.2,1.0,10,42010,0.2,0.20754441261291506
0.2,1.0,11,42011,0.2,0.19409720063209535
0.2,1.0,12,42012,0.2,0.2067111885547638
0.2,1.0,13,42013,0.2,0.2048569405078888
0.2,1.0,14,42014,0.2,0.20101965665817262
0.2,1.0,15,42015,0.2,0.201583354473114
0.2,1.0,16,42016,0.2,0.2067698073387146
0.2,1.0,17,42017,0.2,0.20295008659362795
0.2,1.0,18,42018,0.2,0.19688550114631653
0.2,1.0,19,42019,0.2,0.20802246093750001
0.2,1.0,20,42020,0.2,0.19559826612472536
0.2,1.0,21,42021,0.2,0.20352498054504395
0.2,1.0,22,42022,0.2,0.20215843081474305
0.2,1.0,23,42023,0.2,0.19559680819511416
0.2,1.0,24,42024,0.2,0.20265320301055909
0.2,1.0,25,42025,0.2,0.2019131684303284
0.2,1.0,26,42026,0.2,0.1931552004814148
0.2,1.0,27,42027,0.2,0.19085305452346804
0.2,1.0,28,42028,0.2,0.19380998492240906
0.2,1.0,29,42029,0.2,0.20198721766471864
0.2,1.0,30,42030,0.2,0.20623653769493105
0.2,1.0,31,42031,0.2,0.19906105875968935
0.2,1.0,32,42032,0.2,0.1972879195213318
0.2,1.0,33,42033,0.2,0.19984785795211793
0.2,1.0,34,42034,0.2,0.19917262554168702
0.2,1.0,35,42035,0.2,0.20965903639793398
0.2,1.0,36,42036,0.2,0.20014588117599488
0.2,1.0,37,42037,0.2,0.2066729283332825
0.2,1.0,38,42038,0.2,0.20572713732719422
0.2,1.0,39,42039,0.2,0.20026382327079775
0.2,1.0,40,42040,0.2,0.20855015277862549
0.2,1.0,41,42041,0.2,0.19924318313598635
0.2,1.0,42,42042,0.2,0.2030423927307129
0.2,1.0,43,42043,0.2,0.20802293181419373
0.2,1.0,44,42044,0.2,0.1967888116836548
0.2,1.0,45,42045,0.2,0.20356423974037172
0.2,1.0,46,42046,0.2,0.19445184111595154
0.2,1.0,47,42047,0.2,0.1953044843673706
0.2,1.0,48,42048,0.2,0.19904198646545412
0.2,1.0,49,42049,0.2,0.19070029020309448
0.2,2.0,0,42000,0.2,0.2086944854259491
0.2,2.0,1,42001,0.2,0.2025387990474701
0.2,2.0,2,42002,0.2,0.20486518740653992
0.2,2.0,3,42003,0.2,0.19278048634529116
0.2,2.0,4,42004,0.2,0.20238150358200074
0.2,2.0,5,42005,0.2,0.20964077591896058
0.2,2.0,6,42006,0.2,0.19338025450706484
0.2,2.0,7,42007,0.2,0.20364740252494812
0.2,2.0,8,42008,0.2,0.2023915195465088
0.2,2.0,9,42009,0.2,0.19216297745704652
0.2,2.0,10,42010,0.2,0.20754441261291506
0.2,2.0,11,42011,0.2,0.19409720063209535
0.2,2.0,12,42012,0.2,0.2067111885547638
0.2,2.0,13,42013,0.2,0.2048569405078888
0.2,2.0,14,42014,0.2,0.20101965665817262
0.2,2.0,15,42015,0.2,0.201583354473114
0.2,2.0,16,42016,0.2,0.2067698073387146
0.2,2.0,17,42017,0.2,0.20295008659362795
0.2,2.0,18,42018,0.2,0.19688550114631653
0.2,2.0,19,42019,0.2,0.20802246093750001
0.2,2.0,20,42020,0.2,0.19559826612472536
0.2,2.0,21,42021,0.2,0.20352498054504395
0.2,2.0,22,42022,0.2,0.20215843081474305
0.2,2.0,23,42023,0.2,0.19559680819511416
0.2,2.0,24,42024,0.2,0.20265320301055909
0.2,2.0,25,42025,0.2,0.2019131684303284
0.2,2.0,26,42026,0.2,0.1931552004814148
0.2,2.0,27,42027,0.2,0.19085305452346804
0.2,2.0,28,42028,0.2,0.19380998492240906
0.2,2.0,29,42029,0.2,0.20198721766471864
0.2,2.0,30,42030,0.2,0.20623653769493105
0.2,2.0,31,42031,0.2,0.19906105875968935
0.2,2.0,32,42032,0.2,0.1972879195213318
0.2,2.0,33,42033,0.2,0.19984785795211793
0.2,2.0,34,42034,0.2,0.19917262554168702
0.2,2.0,35,42035,0.2,0.20965903639793398
0.2,2.0,36,42036,0.2,0.20014588117599488
0.2,2.0,37,42037,0.2,0.2066729283332825
0.2,2.0,38,42038,0.2,0.20572713732719422
0.2,2.0,39,42039,0.2,0.20026382327079775
0.2,2.0,40,42040,0.2,0.20855015277862549
0.2,2.0,41,42041,0.2,0.19924318313598635
0.2,2.0,42,42042,0.2,0.2030423927307129
0.2,2.0,43,42043,0.2,0.20802293181419373
0.2,2.0,44,42044,0.2,0.1967888116836548
0.2,2.0,45,42045,0.2,0.20356423974037172
0.2,2.0,46,42046,0.2,0.19445184111595154
0.2,2.0,47,42047,0.2,0.1953044843673706
0.2,2.0,48,42048,0.2,0.19904198646545412
0.2,2.0,49,42049,0.2,0.19070029020309448
0.5,0.2,0,42000,0.5,0.5086944854259491
0.5,0.2,1,42001,0.5,0.5025387990474701
0.5,0.2,2,42002,0.5,0.50486518740654
0.5,0.2,3,42003,0.5,0.49278048634529115
0.5,0.2,4,42004,0.5,0.5023815035820007
0.5,0.2,5,42005,0.5,0.5096407759189606
0.5,0.2,6,42006,0.5,0.4933802545070648
0.5,0.2,7,42007,0.5,0.5036474025249481
0.5,0.2,8,42008,0.5,0.5023915195465087
0.5,0.2,9,42009,0.5,0.4921629774570465
0.5,0.2,10,42010,0.5,0.507544412612915
0.5,0.2,11,42011,0.5,0.49409720063209533
0.5,0.2,12,42012,0.5,0.5067111885547638
0.5,0.2,13,42013,0.5,0.5048569405078888
0.5,0.2,14,42014,0.5,0.5010196566581726
0.5,0.2,15,42015,0.5,0.501583354473114
0.5,0.2,16,42016,0.5,0.5067698073387146
0.5,0.2,17,42017,0.5,0.5029500865936279
0.5,0.2,18,42018,0.5,0.4968855011463165
0.5,0.2,19,42019,0.5,0.5080224609375
0.5,0.2,20,42020,0.5,0.49559826612472535
0.5,0.2,21,42021,0.5,0.5035249805450439
0.5,0.2,22,42022,0.5,0.5021584308147431
0.5,0.2,23,42023,0.5,0.49559680819511415
0.5,0.2,24,42024,0.5,0.502653203010559
0.5,0.2,25,42025,0.5,0.5019131684303284
0.5,0.2,26,42026,0.5,0.4931552004814148
0.5,0.2,27,42027,0.5,0.490853054523468
0.5,0.2,28,42028,0.5,0.4938099849224091
0.5,0.2,29,42029,0.5,0.5019872176647187
0.5,0.2,30,42030,0.5,0.506236537694931
0.5,0.2,31,42031,0.5,0.4990610587596893
0.5,0.2,32,42032,0.5,0.4972879195213318
0.5,0.2,33,42033,0.5,0.49984785795211795
0.5,0.2,34,42034,0.5,0.499172625541687
0.5,0.2,35,42035,0.5,0.509659036397934
0.5,0.2,36,42036,0.5,0.5001458811759949
0.5,0.2,37,42037,0.5,0.5066729283332825
0.5,0.2,38,42038,0.5,0.5057271373271942
0.5,0.2,39,42039,0.5,0.5002638232707978
0.5,0.2,40,42040,0.5,0.5085501527786255
0.5,0.2,41,42041,0.5,0.4992431831359863
0.5,0.2,42,42042,0.5,0.5030423927307129
0.5,0.2,43,42043,0.5,0.5080229318141938
0.5,0.2,44,42044,0.5,0.4967888116836548
0.5,0.2,45,42045,0.5,0.5035642397403717
0.5,0.2,46,42046,0.5,0.49445184111595153
0.5,0.2,47,42047,0.5,0.4953044843673706
0.5,0.2,48,42048,0.5,0.4990419864654541
0.5,0.2,49,42049,0.5,0.49070029020309447
0.5,1.0,0,42000,0.5,0.5086944854259491
0.5,1.0,1,42001,0.5,0.5025387990474701
0.5,1.0,2,42002,0.5,0.50486518740654
0.5,1.0,3,42003,0.5,0.49278048634529115
0.5,1.0,4,42004,0.5,0.5023815035820007
0.5,1.0,5,42005,0.5,0.5096407759189606
0.5,1.0,6,42006,0.5,0.4933802545070648
0.5,1.0,7,42007,0.5,0.5036474025249481
0.5,1.0,8,42008,0.5,0.5023915195465087
0.5,1.0,9,42009,0.5,0.4921629774570465
