canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
text,0.05,0,42000,0.003912330139428377,10.177056312561035,21.835
text,0.05,1,42001,0.007083464413881302,10.172343254089355,21.08
text,0.05,2,42002,0.005130928009748459,10.150055885314941,20.811
text,0.05,3,42003,0.005546012427657843,10.183725357055664,20.875
text,0.05,4,42004,0.003142069559544325,10.16814136505127,20.594
text,0.05,5,42005,0.003560515120625496,10.179854393005371,20.751
text,0.05,6,42006,0.011809763498604298,10.171116828918457,20.519
text,0.05,7,42007,0.003782098414376378,10.178876876831055,20.712
text,0.05,8,42008,0.005430841818451881,10.169083595275879,20.604
text,0.05,9,42009,0.003979892935603857,10.175825119018555,21.719
text,0.05,10,42010,0.01652412861585617,10.167963981628418,20.736
text,0.05,11,42011,0.0037485663779079914,10.187707901000977,20.99
text,0.05,12,42012,0.004143160302191973,10.185787200927734,20.243
text,0.05,13,42013,0.0050236014649271965,10.161476135253906,20.825
text,0.05,14,42014,0.0031666753347963095,10.176273345947266,20.408
text,0.05,15,42015,0.0034795613028109074,10.176136016845703,20.624
text,0.05,16,42016,0.004533022176474333,10.166071891784668,20.477
text,0.05,17,42017,0.007086277473717928,10.156575202941895,20.776
text,0.05,18,42018,0.004209555219858885,10.172133445739746,20.665
text,0.05,19,42019,0.003116051433607936,10.161975860595703,20.749
text,0.05,20,42020,0.005671941675245762,10.188665390014648,21.438
text,0.05,21,42021,0.005625909194350243,10.170111656188965,22.038
text,0.05,22,42022,0.0057623302564024925,10.167668342590332,20.764
text,0.05,23,42023,0.0074343434534966946,10.168487548828125,21.354
text,0.05,24,42024,0.004361446481198072,10.17416763305664,21.003
text,0.05,25,42025,0.0035576720256358385,10.165371894836426,20.675
text,0.05,26,42026,0.006498002912849188,10.171117782592773,20.795
text,0.05,27,42027,0.003882327349856496,10.176648139953613,21.336
text,0.05,28,42028,0.003677680855616927,10.167465209960938,22.481
text,0.05,29,42029,0.007353291846811771,10.174055099487305,21.146
text,0.05,30,42030,0.004130634944885969,10.182135581970215,21.089
